k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,hyouji,orders2
25,4,6,2,"μ3,4",,,"E (μ_{3,4})=μ_{3,5}",0 0 0 1 0 0 0 0 0 0 0 0,"E (μ_{3,3})=μ_{3,4}",0 0 0 0 0 0 0 0 0 0 0 0,103,0 0 0 0 0 0 1 0 0 0 0 0,"μ3,4",2
25,4,7,2,η4\bar{\mu}5σ22,,,E (η_4\bar{\mu}_5σ_{22})=η_5\bar{\mu}_6σ_{23},0 0 0 0 1 0 0 0 0 0 0 0,E (η_{3}\bar{\mu}_{4}σ_{21})=η_{4}\bar{\mu}_{5}σ_{22},0 0 0 0 0 0 0 0 0 0 0 0,2 38 9,0 0 0 0 0 0 0 1 0 0 0 0,η4\bar{\mu}5σ22,2
25,5,0,8,\phi'',"[O1] (8.2), \ \Delta({\phi''})=\pm{\eta_{2}}{\phi'} + other",1 0 0 0 0 0 0 0 0 0 0 0,E (\phi'')=E \phi'',0 0 0 1 0 0 0 0 0 0 0 0,"[O] Prop4.1(3), \  H(\phi'')=σ_{9}^3",0 0 1 0 0 0 0 0 0 0 0 0,104,1 0 0 0 0 0 0 0 0 0 0 0,\phi'',8
25,5,1,2,ν5ε8κ16,"[O] Prop6.4(1), \ \Delta({\nu_{5}}{\varepsilon_{8}}{\kappa_{16}})={\eta_{2}}{\nu'}{\varepsilon_{6}}{\kappa_{14}}",0 1 0 0 0 0 0 0 0 0 0 0,"[O1] Prop6.3(3), \ \Delta(\eta_{11}\bar{\kappa}_{12})={\nu_{5}}{\varepsilon_{8}}{\kappa_{16}}",0 0 0 0 0 0 0 0 0 0 0 0,E (ν_{4}ε_{7}κ_{1_{5}})=ν_{5}ε_{8}κ_{16},0 0 0 0 0 0 0 0 0 0 0 0,4 10 23,0 1 0 0 0 0 0 0 0 0 0 0,ν5ε8κ16,2
25,5,2,2,ν5^2\bar{\sigma}11,"[O] Prop6.4(1), \ \Delta({\nu_{5}^{2}}{\bar{\sigma}_{11}})=0",0 0 0 0 0 0 0 0 0 0 0 0,E (ν_{5}^2\bar{\sigma}_{11})=ν_{6}^2\bar{\sigma}_{12},0 0 0 0 1 0 0 0 0 0 0 0,E (ν_{4}^2\bar{\sigma}_{10})=ν_{5}^2\bar{\sigma}_{11},0 0 0 0 0 0 0 0 0 0 0 0,4 4 51,0 0 1 0 0 0 0 0 0 0 0 0,ν5^2\bar{\sigma}11,2
25,5,3,2,"μ3,5","[O] Prop6.4(1), \ \Delta({\mu_{3,5} })=0",0 0 0 0 0 0 0 0 0 0 0 0,"E (μ_{3,5})=μ_{3,6}",0 0 0 0 0 1 0 0 0 0 0 0,"E (μ_{3,4})=μ_{3,5}",0 0 0 0 0 0 0 0 0 0 0 0,103,0 0 0 1 0 0 0 0 0 0 0 0,"μ3,5",2
25,5,4,2,η5\bar{\mu}6σ23,"[O] Prop6.4(1), \ \Delta({\eta_{5}}{\bar{\mu}_{6}}{\sigma_{23}})=0",0 0 0 0 0 0 0 0 0 0 0 0,E (η_5\bar{\mu}_6σ_{23})=η_6\bar{\mu}_7σ_{24},0 0 0 0 0 0 1 0 0 0 0 0,E (η_{4}\bar{\mu}_{5}σ_{22})=η_{5}\bar{\mu}_{6}σ_{23},0 0 0 0 0 0 0 0 0 0 0 0,2 38 9,0 0 0 0 1 0 0 0 0 0 0 0,η5\bar{\mu}6σ23,2
25,6,0,4,\Delta(\bar{\kappa}13),,,,0 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop6.1(2), \ H({\Delta(\bar{\kappa}_{13})})=\pm2{\bar{\kappa}_{11}}",2 0 0 0 0 0 0 0 0 0 0 0,105,1 0 0 0 0 0 0 0 0 0 0 0,\Delta(\bar{\kappa}13),4
25,6,1,2,\Delta(E A_{1}ε25),,,,0 0 0 0 0 0 0 0 0 0 0 0,"[O] Prop6.1(2), \ H({\Delta(E A_{1}\varepsilon_{25})})={C_1}{\varepsilon_{23}}={\theta'}{\varepsilon_{23}}",0 1 0 0 0 0 0 0 0 0 0 0,107,0 1 0 0 0 0 0 0 0 0 0 0,\Delta(E A_{1}ε25),2
25,6,2,2,\Delta(E A_{1}^{(1)}),,,,0 0 0 0 0 0 0 0 0 0 0 0,by \ exactness,0 0 1 0 0 0 0 0 0 0 0 0,109,0 0 1 0 0 0 0 0 0 0 0 0,\Delta(E A_{1}^{(1)}),2
